facility_code,facility_name,official_name,keph_level,facility_type,facility_type_category,owner,owner_type,regulatory_body,beds,cots,beds_and_cots,county,constituency,sub_county,ward,operation_status,open_whole_day,open_public_holidays,open_weekends,open_late_night,service_names,source,keph_level_numeric,facility_id,eligible_hemodialysis,eligible_icu_ventilator,eligible_anesthesia_theatre,eligible_mri_ct,eligible_xray,eligible_ultrasound,eligible_patient_monitor,equipment_eligible_any
11527.0,Lutsangani Dispensary,Lutsangani Dispensary,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kwale,Kinango,Kinango,Kinango,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,11527.0,False,False,False,False,False,False,False,False
10043.0,Baari Health Centre,Baari Health centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,15,0,15,Nyandarua,Ndaragwa,Ndaragwa,Kiritta,Operational,Yes,No,Yes,No,,kmhfr_openafrica_2020,3.0,10043.0,False,False,False,False,True,True,True,True
10261.0,Githagara Health Centre,Githagara Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Muranga,Kiharu,Kiharu,Mugoiri,Operational,No,No,No,No,,kmhfr_openafrica_2020,3.0,10261.0,False,False,False,False,True,True,True,True
16208.0,Bravo Medical Clinic (Marsabit),Bravo Medical Clinic (Marsabit),Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,0,Marsabit,Saku,Saku,Marsabit Central,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,16208.0,False,False,False,False,False,False,False,False
10253.0,Gikoe Dispensary,Gikoe Dispensary,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Muranga,Kigumo,Kigumo,Kinyona,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,10253.0,False,False,False,False,False,False,False,False
10252.0,Gichuru Dispensary,Gichuru Dispensary,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kiambu,Kikuyu,Kikuyu,Sigona,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,10252.0,False,False,False,False,False,False,False,False
12681.0,Nuu Sub County Hospital,Nuu Sub County Hospital,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,17,0,17,Kitui,Mwingi Central,Mwingi Central,Nuu,Operational,Yes,Yes,Yes,No,,kmhfr_openafrica_2020,4.0,12681.0,True,True,True,False,True,True,True,True
10251.0,Gichira Health Centre,Gichira Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,8,0,8,Nyeri,Tetu,Tetu,Aguthi-gaaki,Operational,No,No,No,No,,kmhfr_openafrica_2020,3.0,10251.0,False,False,False,False,True,True,True,True
12667.0,Nkubu Medical Clinic,Nkubu Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,0,Meru,South Imenti,Imenti South,Nkuene,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,12667.0,False,False,False,False,False,False,False,False
13191.0,EDARP Soweto Health Centre,Edarp Soweto Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,0,Nairobi,Embakasi East,Embakasi East,Lower Savannah,Operational,No,No,No,No,,kmhfr_openafrica_2020,3.0,13191.0,False,False,False,False,True,True,True,True
11533.0,Madogo Health Centre,Madogo Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,6,0,6,Tana River,Bura,Bura,Madogo,Operational,No,No,Yes,No,,kmhfr_openafrica_2020,3.0,11533.0,False,False,False,False,True,True,True,True
12225.0,Kathangariri Dispensary,Kathangariri Dispensary,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Embu,Manyatta,Manyatta,Nginda,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,12225.0,False,False,False,False,False,False,False,False
13631.0,Iyabe sub county  Hospital (Kisii South),Iyabe Sub County Hospital,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,12,1,13,Kisii,Bonchari,Bonchari,Riana,Operational,Yes,No,Yes,No,,kmhfr_openafrica_2020,4.0,13631.0,True,True,True,False,True,True,True,True
10832.0,Ndemi Health Centre,Ndemi Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,24,0,24,Nyandarua,Kipipiri,Kipipiri,Wanjohi,Operational,No,No,No,No,,kmhfr_openafrica_2020,3.0,10832.0,False,False,False,False,True,True,True,True
13767.0,Manga Getobo Clinic,Manga Getobo Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,3,0,3,Nyamira,Kitutu Masaba,Manga,Manga,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,13767.0,False,False,False,False,False,False,False,False
10471.0,Kangu Dispensary,Kangu Dispensary,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kirinyaga,Mwea,Kirinyaga South,Nyangati,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,10471.0,False,False,False,False,False,False,False,False
10249.0,Gichiche Health Centre,Gichiche Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,15,0,15,Nyeri,Nyeri South,Nyeri South,Chinga,Operational,Yes,No,Yes,No,,kmhfr_openafrica_2020,3.0,10249.0,False,False,False,False,True,True,True,True
13669.0,Kengen Clinic,Kengen Clinic,Level 2,Dispensary,DISPENSARY,Public Institution - Parastatal,Ministry of Health,Kenya MPDB,0,0,0,Kisumu,Nyakach,Nyakach,West Nyakach,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,13669.0,False,False,False,False,False,False,False,False
10235.0,Gatura (PCEA) Dispensary,Gatura (PCEA) Dispensary,Level 2,Dispensary,DISPENSARY,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,0,0,0,Nyeri,Mukurweini,Mukurweini,Mukurwe-ini West,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,10235.0,False,False,False,False,False,False,False,False
